,music_recc_rating,Computer or laptop,Smart speakers or voice assistants,Smartphone,Wearable devices,number_of_devices,Classical,Electronic,Kpop,Melody,Old songs,Pop,Rap,Rock,dance,trending songs random,Relaxation and stress relief,Sadness or melancholy,Social gatherings or parties,Uplifting and motivational,Before bed ,Night time,Office hours,Random ,Social gatherings ,Study Hours,While Traveling,"While Traveling,",Workout session,leisure time,"leisure time,",when cooking,Age_12-20,Age_20-35,Age_35-60,Age_6-12,Age_60+,Gender_Female,Gender_Male,Gender_Others,spotify_usage_period_0,spotify_usage_period_1,spotify_usage_period_2,spotify_usage_period_3,spotify_subscription_plan_Free (ad-supported),spotify_subscription_plan_Premium (paid subscription),premium_sub_willingness_No,premium_sub_willingness_Yes,preferred_listening_content_Music,preferred_listening_content_Podcast,music_time_slot_Afternoon,music_time_slot_Morning,music_time_slot_Night
0,3,0,1,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True
1,2,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False
2,4,0,1,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True
3,4,0,1,1,0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
4,4,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
5,3,0,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
6,3,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
7,5,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
8,4,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
9,4,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
10,3,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False
11,3,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
12,3,1,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
13,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
14,5,0,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False
15,2,0,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False
16,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
